adc ax,ax|6611c0
mov [esp],ax|6667890424
mov [esp],bx|6667891c24
mov [esp],cx|6667890c24
mov [esp],dx|6667891424
mov [esp],si|6667893424
mov [esp],di|6667893c24
mov [esp],sp|6667892424
mov [esp],bp|6667892c24
mov [esp],ah|67882424
mov [esp],al|67880424
mov [esp],bh|67883c24
mov [esp],bl|67881c24
mov [esp],ch|67882c24
mov [esp],cl|67880c24
mov [esp],dh|67883424
mov [esp],dl|67881424
mov [esp],eax|67890424
mov [esp],ebx|67891c24
mov [esp],ecx|67890c24
mov [esp],esi|67893424
mov [esp],edi|67893c24
mov [esp],ebp|67892c24
mov [esp],esp|67892424
mov [esp],rax|6748890424
mov [esp],rbx|6748891c24
mov [esp],rcx|6748890c24
mov [esp],rsi|6748893424
mov [esp],rdi|6748893c24
mov [esp],rbp|6748892c24
mov [esp],rsp|6748892424
mov [esp],ds|678c1c24
mov [esp],es|678c0424
mov [esp],cs|678c0c24
mov rax,0x0|b800000000
mov rax,[0x0]|488b042500000000
mov rax,[ebx]|67488b03
mov rax,[esi]|67488b06
mov rax,[edi]|67488b07
mov rax,[ebp]|67488b4500
mov rax,[esp]|67488b0424
mov rax,rax|4889c0
mov rax,rbx|4889d8
mov rax,rcx|4889c8
mov rax,rsi|4889f0
mov rax,rdi|4889f8
mov rax,rbp|4889e8
mov rax,rsp|4889e0
mov rax,[rbx]|488b03
mov rax,[rsi]|488b06
mov rax,[rdi]|488b07
mov rax,[rbp]|488b4500
mov rax,[rsp]|488b0424
mov rax,ds|8cd8
mov rax,es|8cc0
mov rax,cs|8cc8
mov rbx,0x0|bb00000000
mov rbx,[0x0]|488b1c2500000000
mov rbx,[ebx]|67488b1b
mov rbx,[esi]|67488b1e
mov rbx,[edi]|67488b1f
mov rbx,[ebp]|67488b5d00
mov rbx,[esp]|67488b1c24
mov rbx,rax|4889c3
mov rbx,rbx|4889db
mov rbx,rcx|4889cb
mov rbx,rsi|4889f3
mov rbx,rdi|4889fb
mov rbx,rbp|4889eb
mov rbx,rsp|4889e3
mov rbx,[rbx]|488b1b
mov rbx,[rsi]|488b1e
mov rbx,[rdi]|488b1f
mov rbx,[rbp]|488b5d00
mov rbx,[rsp]|488b1c24
mov rbx,ds|8cdb
mov rbx,es|8cc3
mov rbx,cs|8ccb
mov rcx,0x0|b900000000
mov rcx,[0x0]|488b0c2500000000
mov rcx,[ebx]|67488b0b
mov rcx,[esi]|67488b0e
mov rcx,[edi]|67488b0f
mov rcx,[ebp]|67488b4d00
mov rcx,[esp]|67488b0c24
mov rcx,rax|4889c1
mov rcx,rbx|4889d9
mov rcx,rcx|4889c9
mov rcx,rsi|4889f1
mov rcx,rdi|4889f9
mov rcx,rbp|4889e9
mov rcx,rsp|4889e1
mov rcx,[rbx]|488b0b
mov rcx,[rsi]|488b0e
mov rcx,[rdi]|488b0f
mov rcx,[rbp]|488b4d00
mov rcx,[rsp]|488b0c24
mov rcx,ds|8cd9
mov rcx,es|8cc1
mov rcx,cs|8cc9
mov rsi,0x0|be00000000
mov rsi,[0x0]|488b342500000000
mov rsi,[ebx]|67488b33
mov rsi,[esi]|67488b36
mov rsi,[edi]|67488b37
mov rsi,[ebp]|67488b7500
mov rsi,[esp]|67488b3424
mov rsi,rax|4889c6
mov rsi,rbx|4889de
mov rsi,rcx|4889ce
mov rsi,rsi|4889f6
mov rsi,rdi|4889fe
mov rsi,rbp|4889ee
mov rsi,rsp|4889e6
mov rsi,[rbx]|488b33
mov rsi,[rsi]|488b36
mov rsi,[rdi]|488b37
mov rsi,[rbp]|488b7500
mov rsi,[rsp]|488b3424
mov rsi,ds|8cde
mov rsi,es|8cc6
mov rsi,cs|8cce
mov rdi,0x0|bf00000000
mov rdi,[0x0]|488b3c2500000000
mov rdi,[ebx]|67488b3b
mov rdi,[esi]|67488b3e
mov rdi,[edi]|67488b3f
mov rdi,[ebp]|67488b7d00
mov rdi,[esp]|67488b3c24
mov rdi,rax|4889c7
mov rdi,rbx|4889df
mov rdi,rcx|4889cf
mov rdi,rsi|4889f7
mov rdi,rdi|4889ff
mov rdi,rbp|4889ef
mov rdi,rsp|4889e7
mov rdi,[rbx]|488b3b
mov rdi,[rsi]|488b3e
mov rdi,[rdi]|488b3f
mov rdi,[rbp]|488b7d00
mov rdi,[rsp]|488b3c24
mov rdi,ds|8cdf
mov rdi,es|8cc7
mov rdi,cs|8ccf
mov rbp,0x0|bd00000000
mov rbp,[0x0]|488b2c2500000000
mov rbp,[ebx]|67488b2b
mov rbp,[esi]|67488b2e
mov rbp,[edi]|67488b2f
mov rbp,[ebp]|67488b6d00
mov rbp,[esp]|67488b2c24
mov rbp,rax|4889c5
mov rbp,rbx|4889dd
mov rbp,rcx|4889cd
mov rbp,rsi|4889f5
mov rbp,rdi|4889fd
mov rbp,rbp|4889ed
mov rbp,rsp|4889e5
mov rbp,[rbx]|488b2b
mov rbp,[rsi]|488b2e
mov rbp,[rdi]|488b2f
mov rbp,[rbp]|488b6d00
mov rbp,[rsp]|488b2c24
mov rbp,ds|8cdd
mov rbp,es|8cc5
mov rbp,cs|8ccd
mov rsp,0x0|bc00000000
mov rsp,[0x0]|488b242500000000
mov rsp,[ebx]|67488b23
mov rsp,[esi]|67488b26
mov rsp,[edi]|67488b27
mov rsp,[ebp]|67488b6500
mov rsp,[esp]|67488b2424
mov rsp,rax|4889c4
mov rsp,rbx|4889dc
mov rsp,rcx|4889cc
mov rsp,rsi|4889f4
mov rsp,rdi|4889fc
mov rsp,rbp|4889ec
mov rsp,rsp|4889e4
mov rsp,[rbx]|488b23
mov rsp,[rsi]|488b26
mov rsp,[rdi]|488b27
mov rsp,[rbp]|488b6500
mov rsp,[rsp]|488b2424
mov rsp,ds|8cdc
mov rsp,es|8cc4
mov rsp,cs|8ccc
mov [rbx],ax|668903
mov [rbx],bx|66891b
mov [rbx],cx|66890b
mov [rbx],dx|668913
mov [rbx],si|668933
mov [rbx],di|66893b
mov [rbx],sp|668923
mov [rbx],bp|66892b
mov [rbx],ah|8823
mov [rbx],al|8803
mov [rbx],bh|883b
mov [rbx],bl|881b
mov [rbx],ch|882b
mov [rbx],cl|880b
mov [rbx],dh|8833
mov [rbx],dl|8813
mov [rbx],eax|8903
mov [rbx],ebx|891b
mov [rbx],ecx|890b
mov [rbx],esi|8933
mov [rbx],edi|893b
mov [rbx],ebp|892b
mov [rbx],esp|8923
mov [rbx],rax|488903
mov [rbx],rbx|48891b
mov [rbx],rcx|48890b
mov [rbx],rsi|488933
mov [rbx],rdi|48893b
mov [rbx],rbp|48892b
mov [rbx],rsp|488923
mov [rbx],ds|8c1b
mov [rbx],es|8c03
mov [rbx],cs|8c0b
mov [rsi],ax|668906
mov [rsi],bx|66891e
mov [rsi],cx|66890e
mov [rsi],dx|668916
mov [rsi],si|668936
mov [rsi],di|66893e
mov [rsi],sp|668926
mov [rsi],bp|66892e
mov [rsi],ah|8826
mov [rsi],al|8806
mov [rsi],bh|883e
mov [rsi],bl|881e
mov [rsi],ch|882e
mov [rsi],cl|880e
mov [rsi],dh|8836
mov [rsi],dl|8816
mov [rsi],eax|8906
mov [rsi],ebx|891e
mov [rsi],ecx|890e
mov [rsi],esi|8936
mov [rsi],edi|893e
mov [rsi],ebp|892e
mov [rsi],esp|8926
mov [rsi],rax|488906
mov [rsi],rbx|48891e
mov [rsi],rcx|48890e
mov [rsi],rsi|488936
mov [rsi],rdi|48893e
mov [rsi],rbp|48892e
mov [rsi],rsp|488926
mov [rsi],ds|8c1e
mov [rsi],es|8c06
mov [rsi],cs|8c0e
mov [rdi],ax|668907
mov [rdi],bx|66891f
mov [rdi],cx|66890f
mov [rdi],dx|668917
mov [rdi],si|668937
mov [rdi],di|66893f
mov [rdi],sp|668927
mov [rdi],bp|66892f
mov [rdi],ah|8827
mov [rdi],al|8807
mov [rdi],bh|883f
mov [rdi],bl|881f
mov [rdi],ch|882f
mov [rdi],cl|880f
mov [rdi],dh|8837
mov [rdi],dl|8817
mov [rdi],eax|8907
mov [rdi],ebx|891f
mov [rdi],ecx|890f
mov [rdi],esi|8937
mov [rdi],edi|893f
mov [rdi],ebp|892f
mov [rdi],esp|8927
mov [rdi],rax|488907
mov [rdi],rbx|48891f
mov [rdi],rcx|48890f
mov [rdi],rsi|488937
mov [rdi],rdi|48893f
mov [rdi],rbp|48892f
mov [rdi],rsp|488927
mov [rdi],ds|8c1f
mov [rdi],es|8c07
mov [rdi],cs|8c0f
mov [rbp],ax|66894500
mov [rbp],bx|66895d00
mov [rbp],cx|66894d00
mov [rbp],dx|66895500
mov [rbp],si|66897500
mov [rbp],di|66897d00
mov [rbp],sp|66896500
mov [rbp],bp|66896d00
mov [rbp],ah|886500
mov [rbp],al|884500
mov [rbp],bh|887d00
mov [rbp],bl|885d00
mov [rbp],ch|886d00
mov [rbp],cl|884d00
mov [rbp],dh|887500
mov [rbp],dl|885500
mov [rbp],eax|894500
mov [rbp],ebx|895d00
mov [rbp],ecx|894d00
mov [rbp],esi|897500
mov [rbp],edi|897d00
mov [rbp],ebp|896d00
mov [rbp],esp|896500
mov [rbp],rax|48894500
mov [rbp],rbx|48895d00
mov [rbp],rcx|48894d00
mov [rbp],rsi|48897500
mov [rbp],rdi|48897d00
mov [rbp],rbp|48896d00
mov [rbp],rsp|48896500
mov [rbp],ds|8c5d00
mov [rbp],es|8c4500
mov [rbp],cs|8c4d00
mov [rsp],ax|66890424
mov [rsp],bx|66891c24
mov [rsp],cx|66890c24
mov [rsp],dx|66891424
mov [rsp],si|66893424
mov [rsp],di|66893c24
mov [rsp],sp|66892424
mov [rsp],bp|66892c24
mov [rsp],ah|882424
mov [rsp],al|880424
mov [rsp],bh|883c24
mov [rsp],bl|881c24
mov [rsp],ch|882c24
mov [rsp],cl|880c24
mov [rsp],dh|883424
mov [rsp],dl|881424
mov [rsp],eax|890424
mov [rsp],ebx|891c24
mov [rsp],ecx|890c24
mov [rsp],esi|893424
mov [rsp],edi|893c24
mov [rsp],ebp|892c24
mov [rsp],esp|892424
mov [rsp],rax|48890424
mov [rsp],rbx|48891c24
mov [rsp],rcx|48890c24
mov [rsp],rsi|48893424
mov [rsp],rdi|48893c24
mov [rsp],rbp|48892c24
mov [rsp],rsp|48892424
mov [rsp],ds|8c1c24
mov [rsp],es|8c0424
mov [rsp],cs|8c0c24
mov ds,ax|8ed8
mov ds,bx|8edb
mov ds,cx|8ed9
mov ds,dx|8eda
mov ds,si|8ede
mov ds,di|8edf
mov ds,sp|8edc
mov ds,bp|8edd
mov ds,[0x0]|8e1c2500000000
mov ds,eax|8ed8
mov ds,ebx|8edb
mov ds,ecx|8ed9
mov ds,esi|8ede
mov ds,edi|8edf
mov ds,ebp|8edd
mov ds,esp|8edc
mov ds,[ebx]|678e1b
mov ds,[esi]|678e1e
mov ds,[edi]|678e1f
mov ds,[ebp]|678e5d00
mov ds,[esp]|678e1c24
mov ds,rax|8ed8
mov ds,rbx|8edb
mov ds,rcx|8ed9
mov ds,rsi|8ede
mov ds,rdi|8edf
mov ds,rbp|8edd
mov ds,rsp|8edc
mov ds,[rbx]|8e1b
mov ds,[rsi]|8e1e
mov ds,[rdi]|8e1f
mov ds,[rbp]|8e5d00
mov ds,[rsp]|8e1c24
mov es,ax|8ec0
mov es,bx|8ec3
mov es,cx|8ec1
mov es,dx|8ec2
mov es,si|8ec6
mov es,di|8ec7
mov es,sp|8ec4
mov es,bp|8ec5
mov es,[0x0]|8e042500000000
mov es,eax|8ec0
mov es,ebx|8ec3
mov es,ecx|8ec1
mov es,esi|8ec6
mov es,edi|8ec7
mov es,ebp|8ec5
mov es,esp|8ec4
mov es,[ebx]|678e03
mov es,[esi]|678e06
mov es,[edi]|678e07
mov es,[ebp]|678e4500
mov es,[esp]|678e0424
mov es,rax|8ec0
mov es,rbx|8ec3
mov es,rcx|8ec1
mov es,rsi|8ec6
mov es,rdi|8ec7
mov es,rbp|8ec5
mov es,rsp|8ec4
mov es,[rbx]|8e03
mov es,[rsi]|8e06
mov es,[rdi]|8e07
mov es,[rbp]|8e4500
mov es,[rsp]|8e0424
mov cs,ax|8ec8
mov cs,bx|8ecb
mov cs,cx|8ec9
mov cs,dx|8eca
mov cs,si|8ece
mov cs,di|8ecf
mov cs,sp|8ecc
mov cs,bp|8ecd
mov cs,[0x0]|8e0c2500000000
mov cs,eax|8ec8
mov cs,ebx|8ecb
mov cs,ecx|8ec9
mov cs,esi|8ece
mov cs,edi|8ecf
mov cs,ebp|8ecd
mov cs,esp|8ecc
mov cs,[ebx]|678e0b
mov cs,[esi]|678e0e
mov cs,[edi]|678e0f
mov cs,[ebp]|678e4d00
mov cs,[esp]|678e0c24
mov cs,rax|8ec8
mov cs,rbx|8ecb
mov cs,rcx|8ec9
mov cs,rsi|8ece
mov cs,rdi|8ecf
mov cs,rbp|8ecd
mov cs,rsp|8ecc
mov cs,[rbx]|8e0b
mov cs,[rsi]|8e0e
mov cs,[rdi]|8e0f
mov cs,[rbp]|8e4d00
mov cs,[rsp]|8e0c24
add ax,ax|6601c0
add ax,bx|6601d8
add ax,cx|6601c8
add ax,dx|6601d0
add ax,si|6601f0
add ax,di|6601f8
add ax,sp|6601e0
add ax,bp|6601e8
add ax,0x0|6683c000
add ax,[0x0]|6603042500000000
add ax,[ebx]|66670303
add ax,[esi]|66670306
add ax,[edi]|66670307
add ax,[ebp]|6667034500
add ax,[esp]|6667030424
add ax,[rbx]|660303
add ax,[rsi]|660306
add ax,[rdi]|660307
add ax,[rbp]|66034500
add ax,[rsp]|66030424
add bx,ax|6601c3
add bx,bx|6601db
add bx,cx|6601cb
add bx,dx|6601d3
add bx,si|6601f3
add bx,di|6601fb
add bx,sp|6601e3
add bx,bp|6601eb
add bx,0x0|6683c300
add bx,[0x0]|66031c2500000000
add bx,[ebx]|6667031b
add bx,[esi]|6667031e
add bx,[edi]|6667031f
add bx,[ebp]|6667035d00
add bx,[esp]|6667031c24
add bx,[rbx]|66031b
add bx,[rsi]|66031e
add bx,[rdi]|66031f
add bx,[rbp]|66035d00
add bx,[rsp]|66031c24
add cx,ax|6601c1
add cx,bx|6601d9
add cx,cx|6601c9
add cx,dx|6601d1
add cx,si|6601f1
add cx,di|6601f9
add cx,sp|6601e1
add cx,bp|6601e9
add cx,0x0|6683c100
add cx,[0x0]|66030c2500000000
add cx,[ebx]|6667030b
add cx,[esi]|6667030e
add cx,[edi]|6667030f
add cx,[ebp]|6667034d00
add cx,[esp]|6667030c24
add cx,[rbx]|66030b
add cx,[rsi]|66030e
add cx,[rdi]|66030f
add cx,[rbp]|66034d00
add cx,[rsp]|66030c24
add dx,ax|6601c2
add dx,bx|6601da
add dx,cx|6601ca
add dx,dx|6601d2
add dx,si|6601f2
add dx,di|6601fa
add dx,sp|6601e2
add dx,bp|6601ea
add dx,0x0|6683c200
add dx,[0x0]|6603142500000000
add dx,[ebx]|66670313
add dx,[esi]|66670316
add dx,[edi]|66670317
add dx,[ebp]|6667035500
add dx,[esp]|6667031424
add dx,[rbx]|660313
add dx,[rsi]|660316
add dx,[rdi]|660317
add dx,[rbp]|66035500
add dx,[rsp]|66031424
add si,ax|6601c6
add si,bx|6601de
add si,cx|6601ce
add si,dx|6601d6
add si,si|6601f6
add si,di|6601fe
add si,sp|6601e6
add si,bp|6601ee
add si,0x0|6683c600
add si,[0x0]|6603342500000000
add si,[ebx]|66670333
add si,[esi]|66670336
add si,[edi]|66670337
add si,[ebp]|6667037500
add si,[esp]|6667033424
add si,[rbx]|660333
add si,[rsi]|660336
add si,[rdi]|660337
add si,[rbp]|66037500
add si,[rsp]|66033424
add di,ax|6601c7
add di,bx|6601df
add di,cx|6601cf
add di,dx|6601d7
add di,si|6601f7
add di,di|6601ff
add di,sp|6601e7
add di,bp|6601ef
add di,0x0|6683c700
add di,[0x0]|66033c2500000000
add di,[ebx]|6667033b
add di,[esi]|6667033e
add di,[edi]|6667033f
add di,[ebp]|6667037d00
add di,[esp]|6667033c24
add di,[rbx]|66033b
add di,[rsi]|66033e
add di,[rdi]|66033f
add di,[rbp]|66037d00
add di,[rsp]|66033c24
add sp,ax|6601c4
add sp,bx|6601dc
add sp,cx|6601cc
add sp,dx|6601d4
add sp,si|6601f4
add sp,di|6601fc
add sp,sp|6601e4
add sp,bp|6601ec
add sp,0x0|6683c400
add sp,[0x0]|6603242500000000
add sp,[ebx]|66670323
add sp,[esi]|66670326
add sp,[edi]|66670327
add sp,[ebp]|6667036500
add sp,[esp]|6667032424
add sp,[rbx]|660323
add sp,[rsi]|660326
add sp,[rdi]|660327
add sp,[rbp]|66036500
add sp,[rsp]|66032424
add bp,ax|6601c5
add bp,bx|6601dd
add bp,cx|6601cd
add bp,dx|6601d5
add bp,si|6601f5
add bp,di|6601fd
add bp,sp|6601e5
add bp,bp|6601ed
add bp,0x0|6683c500
add bp,[0x0]|66032c2500000000
add bp,[ebx]|6667032b
add bp,[esi]|6667032e
add bp,[edi]|6667032f
add bp,[ebp]|6667036d00
add bp,[esp]|6667032c24
add bp,[rbx]|66032b
add bp,[rsi]|66032e
add bp,[rdi]|66032f
add bp,[rbp]|66036d00
add bp,[rsp]|66032c24
add ah,0x0|80c400
add ah,ah|00e4
add ah,al|00c4
add ah,bh|00fc
add ah,bl|00dc
add ah,ch|00ec
add ah,cl|00cc
add ah,dh|00f4
add ah,dl|00d4
add ah,[0x0]|02242500000000
add ah,[ebx]|670223
add ah,[esi]|670226
add ah,[edi]|670227
add ah,[ebp]|67026500
add ah,[esp]|67022424
add ah,[rbx]|0223
add ah,[rsi]|0226
add ah,[rdi]|0227
add ah,[rbp]|026500
add ah,[rsp]|022424
add al,0x0|0400
add al,ah|00e0
add al,al|00c0
add al,bh|00f8
add al,bl|00d8
add al,ch|00e8
add al,cl|00c8
add al,dh|00f0
add al,dl|00d0
add al,[0x0]|02042500000000
add al,[ebx]|670203
add al,[esi]|670206
add al,[edi]|670207
add al,[ebp]|67024500
add al,[esp]|67020424
add al,[rbx]|0203
add al,[rsi]|0206
add al,[rdi]|0207
add al,[rbp]|024500
add al,[rsp]|020424
add bh,0x0|80c700
add bh,ah|00e7
add bh,al|00c7
add bh,bh|00ff
add bh,bl|00df
add bh,ch|00ef
add bh,cl|00cf
add bh,dh|00f7
add bh,dl|00d7
add bh,[0x0]|023c2500000000
add bh,[ebx]|67023b
add bh,[esi]|67023e
add bh,[edi]|67023f
add bh,[ebp]|67027d00
add bh,[esp]|67023c24
add bh,[rbx]|023b
add bh,[rsi]|023e
add bh,[rdi]|023f
add bh,[rbp]|027d00
add bh,[rsp]|023c24
add bl,0x0|80c300
add bl,ah|00e3
add bl,al|00c3
add bl,bh|00fb
add bl,bl|00db
add bl,ch|00eb
add bl,cl|00cb
add bl,dh|00f3
add bl,dl|00d3
add bl,[0x0]|021c2500000000
add bl,[ebx]|67021b
add bl,[esi]|67021e
add bl,[edi]|67021f
add bl,[ebp]|67025d00
add bl,[esp]|67021c24
add bl,[rbx]|021b
add bl,[rsi]|021e
add bl,[rdi]|021f
add bl,[rbp]|025d00
add bl,[rsp]|021c24
add ch,0x0|80c500
add ch,ah|00e5
add ch,al|00c5
add ch,bh|00fd
add ch,bl|00dd
add ch,ch|00ed
add ch,cl|00cd
add ch,dh|00f5
add ch,dl|00d5
add ch,[0x0]|022c2500000000
add ch,[ebx]|67022b
add ch,[esi]|67022e
add ch,[edi]|67022f
add ch,[ebp]|67026d00
add ch,[esp]|67022c24
add ch,[rbx]|022b
add ch,[rsi]|022e
add ch,[rdi]|022f
add ch,[rbp]|026d00
add ch,[rsp]|022c24
add cl,0x0|80c100
add cl,ah|00e1
add cl,al|00c1
add cl,bh|00f9
add cl,bl|00d9
add cl,ch|00e9
add cl,cl|00c9
add cl,dh|00f1
add cl,dl|00d1
add cl,[0x0]|020c2500000000
add cl,[ebx]|67020b
add cl,[esi]|67020e
add cl,[edi]|67020f
add cl,[ebp]|67024d00
add cl,[esp]|67020c24
add cl,[rbx]|020b
add cl,[rsi]|020e
add cl,[rdi]|020f
add cl,[rbp]|024d00
add cl,[rsp]|020c24
add dh,0x0|80c600
add dh,ah|00e6
add dh,al|00c6
add dh,bh|00fe
add dh,bl|00de
add dh,ch|00ee
add dh,cl|00ce
add dh,dh|00f6
add dh,dl|00d6
add dh,[0x0]|02342500000000
add dh,[ebx]|670233
add dh,[esi]|670236
add dh,[edi]|670237
add dh,[ebp]|67027500
add dh,[esp]|67023424
add dh,[rbx]|0233
add dh,[rsi]|0236
add dh,[rdi]|0237
add dh,[rbp]|027500
add dh,[rsp]|023424
add dl,0x0|80c200
add dl,ah|00e2
add dl,al|00c2
add dl,bh|00fa
add dl,bl|00da
add dl,ch|00ea
add dl,cl|00ca
add dl,dh|00f2
add dl,dl|00d2
add dl,[0x0]|02142500000000
add dl,[ebx]|670213
add dl,[esi]|670216
add dl,[edi]|670217
add dl,[ebp]|67025500
add dl,[esp]|67021424
add dl,[rbx]|0213
add dl,[rsi]|0216
add dl,[rdi]|0217
add dl,[rbp]|025500
add dl,[rsp]|021424
add [0x0],ax|6601042500000000
add [0x0],bx|66011c2500000000
add [0x0],cx|66010c2500000000
add [0x0],dx|6601142500000000
add [0x0],si|6601342500000000
add [0x0],di|66013c2500000000
add [0x0],sp|6601242500000000
add [0x0],bp|66012c2500000000
add [0x0],ah|00242500000000
add [0x0],al|00042500000000
add [0x0],bh|003c2500000000
add [0x0],bl|001c2500000000
add [0x0],ch|002c2500000000
add [0x0],cl|000c2500000000
add [0x0],dh|00342500000000
add [0x0],dl|00142500000000
add [0x0],eax|01042500000000
add [0x0],ebx|011c2500000000
add [0x0],ecx|010c2500000000
add [0x0],esi|01342500000000
add [0x0],edi|013c2500000000
add [0x0],ebp|012c2500000000
add [0x0],esp|01242500000000
add [0x0],rax|4801042500000000
add [0x0],rbx|48011c2500000000
add [0x0],rcx|48010c2500000000
add [0x0],rsi|4801342500000000
add [0x0],rdi|48013c2500000000
add [0x0],rbp|48012c2500000000
add [0x0],rsp|4801242500000000
add eax,0x0|83c000
add eax,[0x0]|03042500000000
add eax,eax|01c0
add eax,ebx|01d8
add eax,ecx|01c8
add eax,esi|01f0
add eax,edi|01f8
add eax,ebp|01e8
add eax,esp|01e0
add eax,[ebx]|670303
add eax,[esi]|670306
add eax,[edi]|670307
add eax,[ebp]|67034500
add eax,[esp]|67030424
add eax,[rbx]|0303
add eax,[rsi]|0306
add eax,[rdi]|0307
add eax,[rbp]|034500
add eax,[rsp]|030424
add ebx,0x0|83c300
add ebx,[0x0]|031c2500000000
add ebx,eax|01c3
add ebx,ebx|01db
add ebx,ecx|01cb
add ebx,esi|01f3
add ebx,edi|01fb
add ebx,ebp|01eb
add ebx,esp|01e3
add ebx,[ebx]|67031b
add ebx,[esi]|67031e
add ebx,[edi]|67031f
add ebx,[ebp]|67035d00
add ebx,[esp]|67031c24
add ebx,[rbx]|031b
add ebx,[rsi]|031e
add ebx,[rdi]|031f
add ebx,[rbp]|035d00
add ebx,[rsp]|031c24
add ecx,0x0|83c100
add ecx,[0x0]|030c2500000000
add ecx,eax|01c1
add ecx,ebx|01d9
add ecx,ecx|01c9
add ecx,esi|01f1
add ecx,edi|01f9
add ecx,ebp|01e9
add ecx,esp|01e1
add ecx,[ebx]|67030b
add ecx,[esi]|67030e
add ecx,[edi]|67030f
add ecx,[ebp]|67034d00
add ecx,[esp]|67030c24
add ecx,[rbx]|030b
add ecx,[rsi]|030e
add ecx,[rdi]|030f
add ecx,[rbp]|034d00
add ecx,[rsp]|030c24
add esi,0x0|83c600
add esi,[0x0]|03342500000000
add esi,eax|01c6
add esi,ebx|01de
add esi,ecx|01ce
add esi,esi|01f6
add esi,edi|01fe
add esi,ebp|01ee
add esi,esp|01e6
add esi,[ebx]|670333
add esi,[esi]|670336
add esi,[edi]|670337
add esi,[ebp]|67037500
add esi,[esp]|67033424
add esi,[rbx]|0333
add esi,[rsi]|0336
add esi,[rdi]|0337
add esi,[rbp]|037500
add esi,[rsp]|033424
add edi,0x0|83c700
add edi,[0x0]|033c2500000000
add edi,eax|01c7
add edi,ebx|01df
add edi,ecx|01cf
add edi,esi|01f7
add edi,edi|01ff
add edi,ebp|01ef
add edi,esp|01e7
add edi,[ebx]|67033b
add edi,[esi]|67033e
add edi,[edi]|67033f
add edi,[ebp]|67037d00
add edi,[esp]|67033c24
add edi,[rbx]|033b
add edi,[rsi]|033e
add edi,[rdi]|033f
add edi,[rbp]|037d00
add edi,[rsp]|033c24
add ebp,0x0|83c500
add ebp,[0x0]|032c2500000000
add ebp,eax|01c5
add ebp,ebx|01dd
add ebp,ecx|01cd
add ebp,esi|01f5
add ebp,edi|01fd
add ebp,ebp|01ed
add ebp,esp|01e5
add ebp,[ebx]|67032b
add ebp,[esi]|67032e
add ebp,[edi]|67032f
add ebp,[ebp]|67036d00
add ebp,[esp]|67032c24
add ebp,[rbx]|032b
add ebp,[rsi]|032e
add ebp,[rdi]|032f
add ebp,[rbp]|036d00
add ebp,[rsp]|032c24
add esp,0x0|83c400
add esp,[0x0]|03242500000000
add esp,eax|01c4
add esp,ebx|01dc
add esp,ecx|01cc
add esp,esi|01f4
add esp,edi|01fc
add esp,ebp|01ec
add esp,esp|01e4
add esp,[ebx]|670323
add esp,[esi]|670326
add esp,[edi]|670327
add esp,[ebp]|67036500
add esp,[esp]|67032424
add esp,[rbx]|0323
add esp,[rsi]|0326
add esp,[rdi]|0327
add esp,[rbp]|036500
add esp,[rsp]|032424
add [ebx],ax|66670103
add [ebx],bx|6667011b
add [ebx],cx|6667010b
add [ebx],dx|66670113
add [ebx],si|66670133
add [ebx],di|6667013b
add [ebx],sp|66670123
add [ebx],bp|6667012b
add [ebx],ah|670023
add [ebx],al|670003
add [ebx],bh|67003b
add [ebx],bl|67001b
add [ebx],ch|67002b
add [ebx],cl|67000b
add [ebx],dh|670033
add [ebx],dl|670013
add [ebx],eax|670103
add [ebx],ebx|67011b
add [ebx],ecx|67010b
add [ebx],esi|670133
add [ebx],edi|67013b
add [ebx],ebp|67012b
add [ebx],esp|670123
add [ebx],rax|67480103
add [ebx],rbx|6748011b
add [ebx],rcx|6748010b
add [ebx],rsi|67480133
add [ebx],rdi|6748013b
add [ebx],rbp|6748012b
add [ebx],rsp|67480123
add [esi],ax|66670106
add [esi],bx|6667011e
add [esi],cx|6667010e
add [esi],dx|66670116
add [esi],si|66670136
add [esi],di|6667013e
add [esi],sp|66670126
add [esi],bp|6667012e
add [esi],ah|670026
add [esi],al|670006
add [esi],bh|67003e
add [esi],bl|67001e
add [esi],ch|67002e
add [esi],cl|67000e
add [esi],dh|670036
add [esi],dl|670016
add [esi],eax|670106
add [esi],ebx|67011e
add [esi],ecx|67010e
add [esi],esi|670136
add [esi],edi|67013e
add [esi],ebp|67012e
add [esi],esp|670126
add [esi],rax|67480106
add [esi],rbx|6748011e
add [esi],rcx|6748010e
add [esi],rsi|67480136
add [esi],rdi|6748013e
add [esi],rbp|6748012e
add [esi],rsp|67480126
add [edi],ax|66670107
add [edi],bx|6667011f
add [edi],cx|6667010f
add [edi],dx|66670117
add [edi],si|66670137
add [edi],di|6667013f
add [edi],sp|66670127
add [edi],bp|6667012f
add [edi],ah|670027
add [edi],al|670007
add [edi],bh|67003f
add [edi],bl|67001f
add [edi],ch|67002f
add [edi],cl|67000f
add [edi],dh|670037
add [edi],dl|670017
add [edi],eax|670107
add [edi],ebx|67011f
add [edi],ecx|67010f
add [edi],esi|670137
add [edi],edi|67013f
add [edi],ebp|67012f
add [edi],esp|670127
add [edi],rax|67480107
add [edi],rbx|6748011f
add [edi],rcx|6748010f
add [edi],rsi|67480137
add [edi],rdi|6748013f
add [edi],rbp|6748012f
add [edi],rsp|67480127
add [ebp],ax|6667014500
add [ebp],bx|6667015d00
